Wavelength,Intensity
4492.0,0.1456372
4496.0,0.1776404
4500.0,0.1518244
4504.0,0.1775119
4508.0,0.2036625
4512.0,0.1503293
4516.0,0.1647605
4520.0,0.2490026
4524.0,0.2975524
4528.0,0.2258432
4532.0,0.1160747
4536.0,0.1113539
4540.0,0.07755087
4544.0,0.1384073
4548.0,0.1724157
4552.0,0.2805564
4556.0,0.1347638
4560.0,0.1588455
4564.0,0.2140843
4568.0,0.1505517
4572.0,0.272337
4576.0,0.3293524
4580.0,0.3001887
4584.0,0.123404
4588.0,0.1192042
4592.0,0.1305586
4596.0,0.104669
4600.0,0.1497005
4604.0,0.09541287
4608.0,0.0402136
4612.0,0.1885804
4616.0,0.2996222
4620.0,0.2771537
4624.0,0.1600693
4628.0,0.1606623
4632.0,0.2560014
4636.0,0.3879679
4640.0,0.3849657
4644.0,0.1836398
4648.0,0.123986
4652.0,0.04472192
4656.0,0.1325534
4660.0,0.2085199
4664.0,0.1852556
4668.0,0.1392085
4672.0,0.2778441
4676.0,0.252964
4680.0,0.1214207
4684.0,0.1148147
4688.0,0.2035749
4692.0,0.182787
4696.0,0.2834181
4700.0,0.2426776
4704.0,0.1737106
4708.0,0.1310764
4712.0,0.09860958
4716.0,0.2365145
4720.0,0.356959
4724.0,0.3374092
4728.0,0.279496
4732.0,0.1836431
4736.0,0.1339509
4740.0,0.1100438
4744.0,0.1415158
4748.0,0.1879724
4752.0,0.2079579
4756.0,0.2629342
4760.0,0.2840659
4764.0,0.3038362
4768.0,0.2976459
4772.0,0.1988647
4776.0,0.1769078
4780.0,0.1267024
4784.0,0.1568717
4788.0,0.2421237
4792.0,0.2490264
4796.0,0.1615277
4800.0,0.2180388
4804.0,0.4061233
4808.0,0.313347
4812.0,0.1360948
4816.0,0.1631349
4820.0,0.1834279
4824.0,0.1800648
4828.0,0.2016066
4832.0,0.1374423
4836.0,0.1932792
4840.0,0.2571454
4844.0,0.1392731
4848.0,0.08345909
4852.0,0.2051808
4856.0,0.2426371
4860.0,0.2181184
4864.0,0.1679856
4868.0,0.2284033
4872.0,0.2909619
4876.0,0.2294119
4880.0,0.1192821
4884.0,0.06920866
4888.0,0.1754118
4892.0,0.2143882
4896.0,0.1839965
4900.0,0.1917481
4904.0,0.2312061
4908.0,0.2397876
4912.0,0.1876328
4916.0,0.1640772
4920.0,0.1610449
4924.0,0.1424731
4928.0,0.2110497
4932.0,0.1799237
4936.0,0.2033043
4940.0,0.1266073
4944.0,0.2097026
4948.0,0.2782559
4952.0,0.2210789
4956.0,0.2455646
4960.0,0.2298
4964.0,0.1342114
4968.0,0.1276483
4972.0,0.1354708
4976.0,0.1509562
4980.0,0.1024369
4984.0,0.06743043
4988.0,0.1206421
4992.0,0.1707188
4996.0,0.2118669
5000.0,0.1267582
5004.0,0.2057978
5008.0,0.3039434
5012.0,0.2026656
5016.0,0.3314442
5020.0,0.2457002
5024.0,0.1319205
5028.0,0.1920246
5032.0,0.1757291
5036.0,0.3265569
5040.0,0.3600357
5044.0,0.3190173
5048.0,0.2659947
5052.0,0.1929149
5056.0,0.1149973
5060.0,0.1736256
5064.0,0.2512435
5068.0,0.2025476
5072.0,0.07362261
5076.0,0.1776508
5080.0,0.1778437
5084.0,0.2951044
5088.0,0.2961954
5092.0,0.295
5096.0,0.2633059
5100.0,0.1200599
5104.0,0.06204914
5108.0,0.1124234
5112.0,0.1811915
5116.0,0.2207901
5120.0,0.2323695
5124.0,0.2237797
5128.0,0.2188299
5132.0,0.2804737
5136.0,0.2813354
5140.0,0.2432447
5144.0,0.2397413
5148.0,0.1750381
5152.0,0.1692059
5156.0,0.1579258
5160.0,0.1591961
5164.0,0.2369983
5168.0,0.3046249
5172.0,0.2414564
5176.0,0.1623214
5180.0,0.1206652
5184.0,0.1486794
5188.0,0.23499
5192.0,0.2910371
5196.0,0.2510124
5200.0,0.1639911
5204.0,0.1625953
5208.0,0.3613033
5212.0,0.4215281
5216.0,0.2730477
5220.0,0.2357306
5224.0,0.3318692
5228.0,0.3213606
5232.0,0.1860765
5236.0,0.1462514
5240.0,0.231889
5244.0,0.266807
5248.0,0.182127
5252.0,0.0690477
5256.0,0.1065578
5260.0,0.06781194
5264.0,0.1484517
5268.0,0.1349398
5272.0,0.1149449
5276.0,0.1671428
5280.0,0.2425678
5284.0,0.2598718
5288.0,0.2201708
5292.0,0.1893936
5296.0,0.1976751
5300.0,0.197194
5304.0,0.1770035
